measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2010,300868.84590991715,304591.25969901984,297303.56871297065
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2003,584220.4239156003,630362.2960042706,537730.8226377867
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2003,272412.3439305183,304910.097183184,238553.60245486343
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,2000,26467.249270285272,28921.40823565446,23998.490840722236
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,2000,10033.876055643363,11423.049462278448,8804.169300608803
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2005,724883.3334976586,782084.1022238018,666582.1484085177
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2005,335450.4479237356,377481.3271550005,293032.01823126187
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2010,2131607.1932943743,2176854.2731854175,2086079.90710407
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2010,736120.9914164129,749125.5004607401,720846.2039185711
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2012,837728.7323372357,848931.4257458936,827941.2050923514
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2012,220016.92118209408,222810.9976323858,216567.04986305878
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2004,638950.8050714565,688625.5503663915,588719.9767458868
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2004,299783.5356388101,336286.32454941625,262485.07926993567
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1999,25646.35338541315,28121.971760189714,23270.520763103068
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1999,9915.046976279333,11310.780729470334,8689.100429642609
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2012,1230674.038415695,1258651.7132000802,1207106.051006077
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2012,422877.3168151191,431855.48192696215,415837.7896453357
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2009,1154429.965514294,1173158.3648708076,1140300.5413346677
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2009,318207.8883286896,321867.69902356906,314285.505920706
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2009,2318288.0876515955,2362297.5647814027,2274102.317917821
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2009,788676.1458477734,802261.4540439547,774982.5859959135
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2006,685325.9725582838,740752.2714668866,632792.7590731313
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2006,314762.55427269073,354164.0968351065,274582.7512724287
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,2001,24142.128062024072,26368.107972737347,21936.67737219806
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,2001,9413.15640049853,10684.453224264118,8290.594497027061
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2011,901613.2647842718,914611.6768436359,890758.8532770725
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2011,244314.55178102254,247359.60407213244,240702.8779360915
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2007,657033.045819819,711039.0291320542,605725.507018045
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2007,302933.8213616873,340486.8821201027,264444.3172699469
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2014,917589.4902574465,929750.560949978,905838.1171952755
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2014,231687.21208939946,234876.02157271776,228333.43671654898
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,2002,25218.576715408246,27492.032218767665,23021.594880858145
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,2002,9783.500853491045,11105.849431332796,8600.544666217833
